internalTaxonId,scientificName,name,language,main
10125,Hipposideros curtus,Short-tailed Roundleaf Bat,English,true
13948,Murina tenebrosa,Tsushima Tube-nosed Bat,English,false
13948,Murina tenebrosa,Gloomy Tube-nosed Bat,English,true
10123,Hipposideros coxi,Cox's Roundleaf Bat,English,false
10123,Hipposideros coxi,Cox's Leaf-nosed Bat,English,true
13945,Murina rozendaali,Gilded Tube-nosed Bat,English,true
10108,Hipposideros ridleyi,Ridley's Roundleaf Bat,English,false
10108,Hipposideros ridleyi,Singapore Roundleaf Horseshoe Bat,English,false
10108,Hipposideros ridleyi,Kelawar Ladam Bulat Singapura,Malay,false
10108,Hipposideros ridleyi,Ridley's Leaf-nosed Bat,English,true
14003,Musonycteris harrisoni,Banana Bat,English,false
